"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.270111010E-1,-3.035914004E-1,7.496577501E-2,-2.656424940E-1
7.290225080E-1,-2.929390669E-1,8.881380409E-2,-2.549901605E-1
7.310346430E-1,-2.758953571E-1,1.047922969E-1,-2.485987544E-1
7.330475600E-1,-2.652430236E-1,1.218360290E-1,-2.432725877E-1
7.350611010E-1,-2.492645234E-1,1.356840581E-1,-2.358159572E-1
7.370750600E-1,-2.311555594E-1,1.548582464E-1,-2.294245660E-1
7.390895390E-1,-2.130466104E-1,1.697715074E-1,-2.240983993E-1
7.411043830E-1,-1.960028708E-1,1.825543046E-1,-2.166417688E-1
7.431194350E-1,-1.757634431E-1,2.006632686E-1,-2.113156021E-1
7.451345910E-1,-1.597849578E-1,2.155765295E-1,-2.059894353E-1
7.471459970E-1,-1.374150664E-1,2.230331600E-1,-1.985328048E-1
7.491576120E-1,-1.171756312E-1,2.336854935E-1,-1.932066381E-1
7.511694350E-1,-1.011971384E-1,2.368811965E-1,-1.878804713E-1
7.531814660E-1,-7.882724702E-2,2.464682907E-1,-1.825543046E-1
7.551936530E-1,-5.965305120E-2,2.464682907E-1,-1.772281379E-1
7.572058410E-1,-4.154408723E-2,2.475335300E-1,-1.708367467E-1
7.592182370E-1,-2.023942769E-2,2.432725877E-1,-1.612496525E-1
7.612307890E-1,-4.260932095E-3,2.411421239E-1,-1.537930220E-1
7.632435490E-1,1.291595027E-2,2.368811965E-1,-1.442059278E-1
7.652564140E-1,2.782921307E-2,2.315550297E-1,-1.335535944E-1
7.672673510E-1,3.848154470E-2,2.315550297E-1,-1.218360290E-1
7.692784970E-1,5.126433820E-2,2.283593267E-1,-1.111836955E-1
7.712898510E-1,6.298190355E-2,2.272941023E-1,-9.840089828E-2
7.733014660E-1,7.256899774E-2,2.315550297E-1,-8.455286920E-2
7.753133410E-1,8.535179496E-2,2.336854935E-1,-6.963960826E-2
7.773253200E-1,9.919982404E-2,2.400768995E-1,-5.579157919E-2
7.793375600E-1,1.087869257E-1,2.443378270E-1,-4.194355011E-2
7.813500600E-1,1.247654185E-1,2.485987544E-1,-2.916075476E-2
7.833628200E-1,1.375482082E-1,2.528596818E-1,-1.744319126E-2
7.853757890E-1,1.513962448E-1,2.528596818E-1,-2.529928461E-3
7.873885490E-1,1.609833390E-1,2.581858635E-1,3.861469682E-3
7.894001120E-1,1.716356725E-1,2.592510879E-1,1.344856713E-2
7.914116740E-1,1.822880059E-1,2.549901605E-1,2.090519853E-2
7.934234970E-1,1.908098608E-1,2.496639937E-1,2.623136342E-2
7.954355810E-1,1.950708032E-1,2.475335300E-1,2.942706272E-2
7.974477160E-1,2.014621943E-1,2.422073632E-1,3.262276202E-2
7.994600600E-1,2.025274336E-1,2.368811965E-1,3.688369319E-2
8.014724030E-1,2.089188248E-1,2.336854935E-1,3.901416063E-2
8.034849560E-1,2.067883611E-1,2.304897904E-1,3.901416063E-2
8.054977160E-1,2.067883611E-1,2.283593267E-1,4.007939249E-2
8.075104760E-1,2.046578974E-1,2.272941023E-1,3.794892505E-2
8.095233410E-1,1.993317306E-1,2.209026963E-1,3.794892505E-2
8.115341220E-1,1.929403245E-1,2.166417688E-1,3.475322574E-2
